title,address,neighborhood,street,city,postalCode,state,countryCode,website,phone,location/lat,location/lng,plusCode,categoryName,totalScore,reviewsCount
Levis,"Av. Bordo de Xochiaca 3, Col. Raul Romero Ampliación, Cdad. Jardín, 57205 Cdad. Nezahualcóyotl, Méx., Mexico","Manzana 004, Colonia Raul Romero Ampliación, Ciudad Jardín",Av. Bordo de Xochiaca 3,Ciudad Nezahualcóyotl,57205,State of Mexico,MX,,+52 55 1558 4312,19.4252341,-99.0235798,"CXGG+3H Ciudad Nezahualcóyotl, State of Mexico, Mexico",Clothing store,4.4,149
Levi's,"Local 131 y 132 Parque Tezontle, Av. Canal de Tezontle 1512, Dr Alfonso Ortiz Tirado, Iztapalapa, 09020 Ciudad de México, CDMX, Mexico",Doctor Alfonso Ortiz Tirado,"Local 131 y 132 Parque Tezontle, Av. Canal de Tezontle 1512","Iztapalapa, Mexico City",9020,Mexico City,MX,http://www.levi.com.mx/,+52 55 4750 7050,19.3831691,-99.082689,"9WM8+7W Mexico City, Mexico",Clothing store,4.4,429
Levi's,"Cto Centro Comercial 2251-Local A48, Cd. Satélite, 53100 Naucalpan de Juárez, Méx., Mexico","Manzana 001, Ciudad Satélite",Cto Centro Comercial 2251-Local A48,Naucalpan de Juárez,53100,State of Mexico,MX,http://www.levi.com.mx/,+52 55 5374 0299,19.510009,-99.2348797,"GQ68+22 Naucalpan de Juárez, State of Mexico, Mexico",Clothing store,4.6,231
Levi's® Andamar,"Bv. Adolfo Ruíz Cortines 4300, Palacio de Hierro, 94470 Boca del Río, Ver., Mexico",Palacio de Hierro,Bv. Adolfo Ruíz Cortines 4300,Boca del Río,94470,Veracruz,MX,https://www.levi.com.mx/,+52 55 8438 1818,19.1396524,-96.1025537,"4VQW+VX Boca del Río, Veracruz, Mexico",Clothing store,4.3,28
Levi's,"Perif. Blvd. Manuel Ávila Camacho 1007, Hab Jardines de Santa Monica, 54050 Tlalnepantla, Méx., Mexico","Manzana 003, Habitacional Jardines de Santa Monica",Perif. Blvd. Manuel Ávila Camacho 1007,Tlalnepantla de Baz,54050,State of Mexico,MX,http://www.levi.com.mx/,+52 55 5366 9796,19.5256106,-99.2279409,"GQGC+6R Tlalnepantla de Baz, State of Mexico, Mexico",Clothing store,4.5,273
Levi's,"Plaza Angelópolis, Ground, Blvd. del Niño Poblano 2510, 72450 Heroica Puebla de Zaragoza, Pue., Mexico","Reserva Territorial Atlixcáyotl, Centro Comercial Angelopolis","Plaza Angelópolis, Ground, Blvd. del Niño Poblano 2510",Puebla,72450,Puebla,MX,,+52 222 225 0222,19.0317881,-98.2329191,"2QJ8+PR Puebla, Mexico",Clothing store,4.5,81
Levi's,"Blvd. Aeropuerto 841, Fracciones de Sangre de Cristo, 37295 León de los Aldama, Gto., Mexico",Fracciones de Sangre de Cristo,Blvd. Aeropuerto 841,Leon,37295,Guanajuato,MX,http://www.levi.com.mx/,+52 477 194 4651,21.0877404,-101.6153919,"39QM+3R Leon, Guanajuato, Mexico",Clothing store,4.4,164
Levi's,"Blvd. A Zacatecas 849-Local 2024, Desarrollo Especial Bulevar a Zacatecas, 20200 Aguascalientes, Ags., Mexico",Desarrollo Especial Bulevar a Zacatecas,Blvd. A Zacatecas 849-Local 2024,Aguascalientes,20200,Aguascalientes,MX,http://www.levi.com.mx/,+52 449 993 3850,21.9245323,-102.2897871,"WPF6+R3 Aguascalientes, Mexico",Clothing store,3.5,17
Levi's,"Carretera Querétaro - San Luis Potosi No Ext. 1204 No Int. 147 Ejido Lomas De Salitre, Av. Antea, 76127 Santiago de Querétaro, Qro., Mexico",,"Carretera Querétaro - San Luis Potosi No Ext. 1204 No Int. 147 Ejido Lomas De Salitre, Av. Antea",Santiago de Querétaro,76127,Querétaro,MX,https://www.levi.com.mx/,+52 442 688 3363,20.674844,-100.4364725,"MHF7+WC Santiago de Querétaro, Querétaro, Mexico",Clothing store,4.3,28
Levi's Sendero Obregon,"Plaza Sendero, C. 300 85180, Franja Comercial 300, 85065, 85099 Cdad. Obregón, Son., Mexico",,"Plaza Sendero, C. 300 85180, Franja Comercial 300, 85065",Ciudad Obregón,85099,Sonora,MX,,,27.4687041,-109.9141118,"F39P+F9 Ciudad Obregón, Sonora, Mexico",Youth clothing store,3,2
Levi's,"Av. Lic. Enrique Ramírez Miguel 1000-Local. 220, 58270 Morelia, Mich., Mexico",,Av. Lic. Enrique Ramírez Miguel 1000-Local. 220,Morelia,58270,Michoacán,MX,http://www.levi.com.mx/,+52 443 315 0085,19.6888699,-101.1581554,"MRQR+GP Morelia, Michoacán, Mexico",Clothing store,4.1,69
Levi's® Cuernavaca,"GALERIAS CUERNAVACA, PLANTA BAJA, LOCAL 135 AUTOPISTA MEXICO-ACAPULCO RICARDO FLORES MAGON CUERNAVACA, 62370 MORELOS, Mor., Mexico",Tulipanes,"GALERIAS CUERNAVACA, PLANTA BAJA, LOCAL 135 AUTOPISTA MEXICO-ACAPULCO RICARDO FLORES MAGON CUERNAVACA",MORELOS,62370,Morelos,MX,https://www.levi.com.mx/,+52 777 322 9955,18.9354763,-99.1926094,"WRP4+5X Cuernavaca, Morelos, Mexico",Clothing store,4.5,21
Levi's® Oceanía,"Encuentro Oceanía, Av. del Peñón 355-Local MB-11, Moctezuma 2da Secc, Venustiano Carranza, 15530 Ciudad de México, CDMX, Mexico",Moctezuma 2da Sección,"Encuentro Oceanía, Av. del Peñón 355-Local MB-11","Venustiano Carranza, Mexico City",15530,Mexico City,MX,https://www.levi.com.mx/,,19.4398917,-99.0942764,"CWQ4+X7 Moctezuma 2da Secc, Mexico City, CDMX, Mexico",Clothing store,4.4,18
Levi's,"Calle. Portal Madero 212, Centro, 50000 Toluca de Lerdo, Méx., Mexico","Manzana 010, Centro",Calle. Portal Madero 212,Toluca,50000,State of Mexico,MX,http://www.levi.com.mx/,+52 722 215 5609,19.2903208,-99.6565402,"78RV+49 Toluca, State of Mexico, Mexico",Clothing store,3.9,51
Levi's,"Av. Primero de Mayo 1700, Santa Ana Tlapaltitlán, 50071 Santa Ana Tlapaltitlán, Méx., Mexico","Manzana 016, Santa Ana Tlapaltitlán",Av. Primero de Mayo 1700,Santa Ana Tlapaltitlán,50071,State of Mexico,MX,,+52 55 4161 2116,19.2898508,-99.6227009,"79QG+WW Santa Ana Tlapaltitlán, State of Mexico, Mexico",Clothing store,4.2,32
Levi's,"C. Jacarandas 103-Local 82A, Ricardo Flores Magon, 62370 Cuernavaca, Mor., Mexico",Ricardo Flores Magon,C. Jacarandas 103-Local 82A,Cuernavaca,62370,Morelos,MX,http://www.levi.com.mx/,+52 777 688 7675,18.9254584,-99.1981618,"WRG2+5P Ricardo Flores Magon, Cuernavaca, Morelos, Mexico",Clothing store,3.8,4
Levi's® PH Corner Perisur,"Palacio de Hierro Perisur, Periferico Sur 4690, Jardines del Pedregal de San Ángel, Coyoacán, 04500 Ciudad de México, CDMX, Mexico",Jardines del Pedregal de San Ángel,"Palacio de Hierro Perisur, Periferico Sur 4690","Coyoacán, Mexico City",4500,Mexico City,MX,https://www.levi.com.mx/,+52 55 8438 1818,19.3045316,-99.1911815,"8R35+RG Jardines del Pedregal de San Ángel, Mexico City, CDMX, Mexico",Clothing store,4.3,28
Levi's,"71775, Santiago Momoxpan, 72775 San Pedro Cholula, Pue., Mexico",Santiago Momoxpan,71775,San Pedro Cholula,72775,Puebla,MX,https://www.levi.com.mx/,+52 222 290 9986,19.0734528,-98.276721,"3PFF+98 San Pedro Cholula, Puebla, Mexico",Clothing store,3.7,16
Levi's® Patio Martin Carrera,"FC Hidalgo 30, 15 de Agosto, Gustavo A. Madero, 07058 Ciudad de México, CDMX, Mexico",15 de Agosto,FC Hidalgo 30,"Gustavo A. Madero, Mexico City",7058,Mexico City,MX,http://levi.com.mx/,,19.4832182,-99.1063279,"FVMV+7F Mexico City, Mexico",Clothing store,5,3
Levi's® PH Corner Acoxpa,"Palacio de Hierro, Calz Acoxpa 430, Coapa, Vergel Sur, Tlalpan, 14340 Ciudad de México, CDMX, Mexico","Coapa, Vergel Sur","Palacio de Hierro, Calz Acoxpa 430","Tlalpan, Mexico City",14340,Mexico City,MX,https://www.levi.com.mx/,+52 55 8438 1818,19.2980525,-99.1376166,"7VX6+6X Mexico City, Mexico",Clothing store,4.3,28
Levi's,"Via Jose Lopez Portillo No.1 Local D-104, 55712 Méx., Mexico",La Magdalena 2,Via Jose Lopez Portillo No.1 Local D-104,Coacalco,55712,State of Mexico,MX,http://www.levi.com.mx/,+52 55 5709 0400,19.6311803,-99.0901974,"JWJ5+FW Coacalco, State of Mexico, Mexico",Clothing store,3,2
Levi's® Ecatepec Pop Up,"Esq. 1 de Mayo, Plaza Las Américas, Av. Central Manzana 4 Lote 2-Local B-23, Potrero Chico, 55075 Ecatepec de Morelos, Méx., Mexico","Manzana 4, Potrero Chico","Esq. 1 de Mayo, Plaza Las Américas, Av. Central MZ 4 LT 2-Local B-23",Ecatepec de Morelos,55075,State of Mexico,MX,https://www.levi.com.mx/,+52 55 8438 1818,19.577005,-99.0239073,"HXGG+RC Ecatepec de Morelos, Agricultura 4-A, Méx., Mexico",Clothing store,4.3,28
Levi's® PH Corner Polanco,"Sección Palmas, Moliere, Palacio de Hierro 222, Polanco, Polanco I Secc, Miguel Hidalgo, 11570 CDMX, Mexico","Polanco, Polanco I Sección","Sección Palmas, Moliere, Palacio de Hierro 222","Miguel Hidalgo, Mexico City",11570,Mexico City,MX,https://www.levi.com.mx/,+52 55 8438 1818,19.4353159,-99.2029583,"CQPW+4R Polanco I Secc, Polanco, Mexico City, CDMX, Mexico",Clothing store,4.3,28
Levi's® PH Corner Interlomas,"Palacio de Hierro Interlomas, Av. De la Barranca, Autop. Chamapa la Venta 6, Ex Hacienda, 52787 Acambay, Méx., Mexico","Manzana 033, Ex Hacienda","Palacio de Hierro Interlomas, Av. De la Barranca, Autop. Chamapa la Venta 6",Acambay,52787,State of Mexico,MX,https://www.levi.com.mx/,+52 55 8438 1818,19.4033725,-99.2724516,"CP3H+82 Naucalpan de Juárez, State of Mexico, Mexico",Clothing store,4.3,28
Levi's® PH Corner Guadalajara,"Palacio de Hierro Guadalajara, Av. Patria 2085, Puerta de Hierro, 45116 Zapopan, Jal., Mexico","Puerta de Hierro, Guadalajara","Palacio de Hierro Guadalajara, Av. Patria 2085",Zapopan,45116,Jalisco,MX,https://www.levi.com.mx/,+52 55 8438 1818,20.7099589,-103.4125174,"PH5P+XX Zapopan, Jalisco, Mexico",Clothing store,4.3,28
Levi's® PH Corner Coyoacán,"Palacio de Hierro Mitikah, Av. Coyoacán 2000, Xoco, Benito Juárez, 03330 Ciudad de México, CDMX, Mexico",Xoco,"Palacio de Hierro Mitikah, Av. Coyoacán 2000","Benito Juarez, Mexico City",3330,Mexico City,MX,https://www.levi.com.mx/,+52 55 8438 1818,19.3604777,-99.1701793,"9R6H+5W Mexico City, Mexico",Clothing store,1,1
Levi's,"Av. Adolfo Ruiz Cortines Local 353, Mexico Nuevo, 52977 Cdad. López Mateos, Méx., Mexico","Manzana 029, Mexico Nuevo",Av. Adolfo Ruiz Cortines Local 353,Ciudad López Mateos,52977,State of Mexico,MX,http://www.levi.com.mx/,+52 55 1668 9082,19.5490839,-99.2745393,"GPXG+J5 Ciudad López Mateos, State of Mexico, Mexico",Clothing store,4.5,93
Levi's® PH Corner Durango,"Palacio de Hierro Durango, Salamanca 72, Centro Urbano Pdte. Juárez, Roma Nte., Cuauhtémoc, 06700 Cuauhtémoc, CDMX, Mexico","Roma, Roma Norte","Palacio de Hierro Durango, Salamanca 72",Cuauhtémoc,6700,Mexico City,MX,https://www.levi.com.mx/,+52 55 8438 1818,19.4187627,-99.169324,"CR9J+G7 Mexico City, Mexico",Clothing store,1,1
Levi's,"136, C. Jacarandas 87, Ricardo Flores Magon, 62370 Cuernavaca, Mor., Mexico",Ricardo Flores Magon,"136, C. Jacarandas 87",Cuernavaca,62370,Morelos,MX,https://www.levi.com.mx/,+52 777 316 5066,18.9259061,-99.1973522,"WRG3+93 Cuernavaca, Morelos, Mexico",Clothing store,4.4,143
Levi's®,"Portal de Claveria S/N, Centro, 68000 Oaxaca de Juárez, Oax., Mexico",Centro,Portal de Claveria S/N,Oaxaca,68000,Oaxaca,MX,https://www.levi.com.mx/,,17.0610191,-96.7248338,"376G+C3 Oaxaca, Mexico",Clothing store,3.9,22
Levi's® PH Corner Monterrey,"Palacio de Hierro, Av. José Vasconcelos 402, Del Valle, 66220 San Pedro Garza García, N.L., Mexico",Del Valle,"Palacio de Hierro, Av. José Vasconcelos 402",San Pedro Garza García,66220,Nuevo Leon,MX,https://www.levi.com.mx/,+52 55 8438 1818,25.6528681,-100.3781483,"MJ3C+4P San Pedro Garza García, Nuevo Leon, Mexico",Clothing store,4.3,28
Levi's,"Benito Juárez 322 Int6, Col. Centro, 38000 Celaya, Gto., Mexico",Colonia Centro,Benito Juárez 322 Int6,Celaya,38000,Guanajuato,MX,http://www.levi.com.mx/,+52 461 613 1868,20.5229478,-100.8154889,"G5FM+5R Celaya, Guanajuato, Mexico",Clothing store,4.3,32
Levi's,"Boulevard a Villas de Irapuato 1443, Local 24, 36690 Gto., Mexico",Plaza Cibeles,"Boulevard a Villas de Irapuato 1443, Local 24",Irapuato,36690,Guanajuato,MX,http://www.levi.com.mx/,+52 462 623 1875,20.6805602,-101.3801664,"MJJ9+6W Irapuato, Guanajuato, Mexico",Clothing store,4.4,37
Levi's® Tijuana,"Vía Rápida Ote. 170, Rio Tijuana 3ra Etapa, 22110 Tijuana, B.C., Mexico",Rio Tijuana 3ra Etapa,Vía Rápida Ote. 170,Tijuana,,Baja California,MX,http://www.levi.com.mx/,+52 664 970 8870,32.5140572,-116.9672997,"G27M+J3 Tijuana, Baja California, Mexico",Clothing store,3.3,12
Dockers Explanada,"Santiago Momoxpan, Alvaro Obregón, 72774 San Pedro Cholula, Puebla, Mexico","Santiago Momoxpan, Alvaro Obregón",Santiago Momoxpan,San Pedro Cholula,,Puebla,MX,https://dockers.com.mx/,+52 222 225 0100,19.0722964,-98.2775101,"3PCC+WX San Pedro Cholula, Puebla, Mexico",Clothing store,4.3,6
