title,address,neighborhood,street,city,postalCode,countryCode,website,phone,phoneUnformatted,location/lat,location/lng,plusCode,categoryName,totalRating,reviewsCount
Levi's,"StadtQuartier Riem Arcaden Shop OG Shop 14, Willy-Brandt-Platz 5, 81829 München, Germany",Trudering-Riem,"StadtQuartier Riem Arcaden Shop OG Shop 14, Willy-Brandt-Platz 5",Munich,81829,DE,https://locations.levi.com/de-de/de-bb/munchen/denim_munchen_de-bb_4720.html,+49 89 95993380,4.99E+11,48.1320275,11.692166,"4MJR+RV Munich, Germany",Clothing store,3.7,69
Levi's,"Hanauer Str. 68, 80993 München, Germany",Moosach,Hanauer Str. 68,Munich,80993,DE,https://locations.levi.com/de-de/de-bb/munchen/denim_munchen_de-bb_4677.html,+49 89 15984799,4.99E+11,48.183458,11.534715,"5GMM+9V Munich, Germany",Clothing store,3.1,79
Levi's® Outlet Bernau,"Theodor-Sanne-Straße 3, 83233 Bernau am Chiemsee, Germany",,Theodor-Sanne-Straße 3,Bernau am Chiemsee,83233,DE,https://www.levi.com/,+49 8051 6409949,4.98E+12,47.8150834,12.3670318,"R988+2R Bernau am Chiemsee, Germany",Clothing store,4.5,11
Levi's,"Einkaufs-Center Neuperlach, Ollenhauerstraße 6, 81737 München, Germany",Ramersdorf-Perlach,"Einkaufs-Center Neuperlach, Ollenhauerstraße 6",Munich,81737,DE,https://locations.levi.com/de-de/de-bb/munchen/denim_munchen_de-bb_4495.html,+49 89 62837962,4.99E+11,48.1006615,11.6450634,"4J2W+72 Munich, Germany",Clothing store,3.9,48
Levi's® Weiterstadt,"Gutenbergstraße 5, 64331 Weiterstadt, Germany",Riedbahn,Gutenbergstraße 5,Weiterstadt,64331,DE,https://locations.levi.com/de-de/de-he/weiterstadt/denim_weiterstadt_de-he_5460.html,+49 6151 3080989,4.96E+12,49.892885,8.6072963,"VJV4+5W Weiterstadt, Germany",Clothing store,3.4,40
Levi's® Pasing Arcaden,"Pasing Arcaden, Pasinger Bahnhofspl. 5, 81241 München, Germany",Pasing-Obermenzing,"Pasing Arcaden, Pasinger Bahnhofspl. 5",Munich,81241,DE,https://locations.levi.com/de-de/de-bb/munchen/denim_munchen_de-bb_5085.html,+49 89 51771100,4.99E+11,48.1484622,11.463638,"4FX7+9F Munich, Germany",Clothing store,4.2,55
Levi's® Karlsruhe,"Ettlinger-Tor-Platz 1, 76133 Karlsruhe, Germany",Innenstadt-West,Ettlinger-Tor-Platz 1,Karlsruhe,76133,DE,https://locations.levi.com/de-de/de-bw/karlsruhe/denim_karlsruhe_de-bw_4067.html,+49 721 68028311,4.97E+12,49.0069807,8.4018239,"2C42+QP Karlsruhe, Germany",Clothing store,4.3,135
Levi's® Augsburg,"Willy-Brandt-Platz 1, 86153 Augsburg, Germany",Augsburg-Innenstadt,Willy-Brandt-Platz 1,Augsburg,86153,DE,https://locations.levi.com/de-de/de-by/augsburg/denim_augsburg_de-by_4019.html,+49 821 81566044,4.98E+12,48.3655082,10.9075113,,Clothing store,4.2,40
Levi's,"Schloßstraße 15, 12163 Berlin, Germany",Steglitz-Zehlendorf,Schloßstraße 15,Berlin,12163,DE,https://locations.levi.com/de-de/de-be/berlin/denim_berlin_de-be_6043.html,+49 30 79309227,4.93E+11,52.4627292,13.3249518,"F87F+3X Berlin, Germany",Clothing store,4,97
Levi's® Mainz,"Am Brand 31, 55116 Mainz, Germany",,Am Brand 31,Mainz,55116,DE,https://www.levi.com/,+49 6131 2755540,4.96E+12,50.000539,8.2744907,"272F+6Q Mainz, Germany",Clothing store,3.9,49
Levi's® Schulterblatt,"Schulterblatt 25, 22769 Hamburg, Germany",Altona,Schulterblatt 25,Hamburg,22769,DE,https://www.levi.com/,+49 40 40189335,4.94E+11,53.5602613,9.9631906,,Clothing store,4.1,55
Levi's® Rhein Center,"Aachener Str. 1253, 50858 Köln, Germany",Lindenthal,Aachener Str. 1253,Cologne,50858,DE,https://locations.levi.com/de-de/de-mv/koeln/denim_koeln_de-mv_5179.html,+49 2234 9670072,4.92E+12,50.9375571,6.8359626,"WRQP+29 Cologne, Germany",Clothing store,4.5,36
Levi's® Pragerstrasse,"Prager Str. 4a, 01069 Dresden, Germany",Altstadt,Prager Str. 4a,Dresden,1069,DE,https://locations.levi.com/de-de/de-sl/dresden/denim_dresden_de-sl_4063.html,+49 351 4820683,4.94E+11,51.0431938,13.7354665,"2PVP+75 Dresden, Germany",Clothing store,4.1,99
Levi's® Westenhellweg,"Westenhellweg 55-57, 44137 Dortmund, Germany",Innenstadt-West,Westenhellweg 55-57,Dortmund,44137,DE,https://www.levi.com/,+49 231 18993535,4.92E+12,51.5144833,7.4621176,"GF76+QR Dortmund, Germany",Clothing store,4.4,38
Levi's,"Am Minto 3, 41061 Mönchengladbach, Germany",Nord,Am Minto 3,M. Gladbach,41061,DE,https://locations.levi.com/de-de/de-mv/monchengladbach/denim_monchengladbach_de-mv_4074.html,+49 2161 2937330,4.92E+12,51.1947721,6.4385228,"5CVQ+WC M. Gladbach, Germany",Clothing store,4.5,112
Levis Store Augsburg,"Philippine-Welser-Str. 14, 86150 Augsburg, Germany",Augsburg-Innenstadt,Philippine-Welser-Str. 14,Augsburg,86150,DE,https://locations.levi.com/de-de/de-by/augsburg/denim_augsburg_de-by_4019.html,+49 821 81566044,4.98E+12,48.3686721,10.896919,"9V9W+FQ Augsburg, Germany",Clothing store,5,1
Levi's® Saarbrücken,"Bahnhofstraße 74, 66111 Saarbrücken, Germany",Mitte,Bahnhofstraße 74,Saarbrücken,66111,DE,https://www.levi.com/,+49 681 93875787,4.97E+12,49.2368424,6.9926423,"6XPV+P3 Saarbrücken, Germany",Clothing store,3.4,24
Levi's®,"Stern-Center 1 -10, 14480 Potsdam, Germany",Potsdam Südost,Stern-Center 1 -10,Potsdam,14480,DE,https://locations.levi.com/de-de/de-bb/potsdam/denim_potsdam_de-bb_4077.html,+49 331 60040643,4.93E+12,52.3704812,13.134672,"94CM+5V Potsdam, Germany",Clothing store,4.1,62
Levi's Darmstadt,"Luisenpl. 5, 64283 Darmstadt, Germany",,Luisenpl. 5,Darmstadt,64283,DE,https://locations.levi.com/de-de/de-he/darmstadt/denim_darmstadt_de-he_4071.html,+49 6151 6609466,4.96E+12,49.8716832,8.6515046,"VMC2+MJ Darmstadt, Germany",Clothing store,3.9,31
Levi's® Siegen,"Am Bahnhof 40, 57072 Siegen, Germany",,Am Bahnhof 40,Siegen,57072,DE,https://www.levi.com/,+49 271 31757570,4.93E+12,50.8741699,8.0151297,"V2F8+M3 Siegen, Germany",Clothing store,4.7,43
Levi's® Ludwigsburg,"Heinkelstraße 1, 71634 Ludwigsburg, Germany",,Heinkelstraße 1,Ludwigsburg,71634,DE,https://www.levi.com/,+49 7141 9164725,4.97E+12,48.9214963,9.1517178,"W5C2+HM Ludwigsburg, Germany",Clothing store,4,110
